Specie,Supply_Type,Total_MORFO_Supply_Kg
Enterolobium contortisiliquum,supplier_2ry,16.669
Enterolobium contortisiliquum,supplier_top,495.999
Enterolobium gummiferum,supplier_2ry,0.003
Enterolobium gummiferum,supplier_top,24
Enterolobium maximum,pilot_top,0.56
Enterolobium maximum,supplier_top,0
Enterolobium schomburgkii,pilot_top,10.043
Enterolobium schomburgkii,supplier_2ry,30
Enterolobium schomburgkii,supplier_top,73
Enterolobium timbouva,supplier_2ry,13.336
Enterolobium timbouva,supplier_top,462.514
Eremanthus glomerulatus,supplier_top,20.667
Eremanthus uniflorus,supplier_top,37.667
Eriotheca gracilipes,pilot_top,1
Eriotheca gracilipes,supplier_top,18
Erythrina dominguezii,supplier_top,2
Erythrina falcata,supplier_top,0
Erythrina sp.,pilot_top,3.333
Erythrina speciosa,supplier_top,13.333
Erythrina velutina,supplier_top,5
Erythroxylum daphnites,pilot_top,0.333
Erythroxylum suberosum,pilot_top,0.333
Eschweifera sp.,supplier_2ry,3.333
Eschweilara nana,supplier_2ry,0.003
Eschweilera ovata,pilot_top,3.333
Eschweilera ovata,supplier_2ry,0
Eucalyptus camaldulensis,supplier_2ry,1.333
Eugenia dysenterica,pilot_top,3.815
Eugenia dysenterica,supplier_2ry,4.003
Eugenia dysenterica,supplier_top,6
Eugenia pantanalensis,pilot_top,0.333
Eugenia pyriformis,supplier_2ry,1
Eugenia uniflora,supplier_2ry,17.667
Euphorbia heterophylla,supplier_2ry,1.333
Euplassa inaequalis,pilot_top,0.666
Euterpe edulis,pilot_top,19934.667
Euterpe edulis,supplier_2ry,47.003
Euterpe edulis,supplier_top,6.667
Euterpe oleracea,pilot_top,10259.816
Euterpe oleracea,supplier_2ry,163.333
Euterpe oleracea,supplier_top,3.333
Ficus adhatodifolia,supplier_2ry,0.003
Ficus adhatodifolia,supplier_top,0.167
Ficus glabra,supplier_2ry,12
Ficus gomelleira,supplier_2ry,1.667
Ficus guaranitica,supplier_2ry,3.333
Ficus insipida,pilot_top,0.027
Ficus sp.,pilot_top,3.333
Fridericia platyphylla,supplier_top,5.167
Gallesia integrifolia,supplier_top,6.834
Garcinia brasiliensis,supplier_2ry,3.333
Garcinia gardneriana,pilot_top,8.317
Garcinia gardneriana,supplier_2ry,0.003
Garcinia gardneriana,supplier_top,1.333
Garcinia sp.,pilot_top,3.333
Garcinia sp.,supplier_2ry,20
Geissospermum sericeum,supplier_2ry,53.333
Genipa americana,pilot_top,83.677
Genipa americana,supplier_2ry,18.669
Genipa americana,supplier_top,52.333
Gochnatia polymorpha,supplier_top,3.333
Guapira graciliflora,pilot_top,0.333
Guapira noxia,pilot_top,0.333
Guarea guidonia,pilot_top,3.333
Guatteria discolor,supplier_top,2
Guazuma ulmifolia,pilot_top,0.333
Guazuma ulmifolia,supplier_2ry,57.671
Guazuma ulmifolia,supplier_top,122.867
